Year,Age,Female,Male,Total,OpenInterval
2020,0,0.004918,0.005849,0.005394,FALSE
2020,1,0.00031,0.000403,0.000318,FALSE
2020,2,0.000199,0.000259,0.000211,FALSE
2020,3,0.000161,0.000208,0.000174,FALSE
2020,4,0.000123,0.000155,0.000134,FALSE
2020,5,0.000115,0.000144,0.000128,FALSE
2020,6,0.000103,0.000132,0.000117,FALSE
2020,7,0.000094,0.000121,0.000109,FALSE
2020,8,0.000089,0.000109,0.0001,FALSE
2020,9,0.000087,0.000096,0.000092,FALSE
2020,10,0.000089,0.000091,0.000091,FALSE
2020,11,0.000098,0.000107,0.000103,FALSE
2020,12,0.000117,0.000159,0.000138,FALSE
2020,13,0.000147,0.000255,0.000201,FALSE
2020,14,0.000185,0.000385,0.000287,FALSE
2020,15,0.00023,0.000529,0.000382,FALSE
2020,16,0.000276,0.000676,0.00048,FALSE
2020,17,0.000324,0.000831,0.000583,FALSE
2020,18,0.000371,0.000991,0.000687,FALSE
2020,19,0.000418,0.001152,0.000793,FALSE
2020,20,0.000468,0.00132,0.000903,FALSE
2020,21,0.000519,0.001483,0.001012,FALSE
2020,22,0.00057,0.00162,0.001106,FALSE
2020,23,0.000617,0.001717,0.00118,FALSE
2020,24,0.000662,0.001785,0.001236,FALSE
2020,25,0.000705,0.00184,0.001286,FALSE
2020,26,0.00075,0.001899,0.001338,FALSE
2020,27,0.000798,0.001966,0.001396,FALSE
2020,28,0.000853,0.00205,0.001465,FALSE
2020,29,0.000914,0.002148,0.001543,FALSE
2020,30,0.000978,0.002251,0.001626,FALSE
2020,31,0.001044,0.002351,0.001708,FALSE
2020,32,0.001111,0.002448,0.001788,FALSE
2020,33,0.001176,0.002539,0.001865,FALSE
2020,34,0.001243,0.002627,0.001941,FALSE
2020,35,0.001315,0.002722,0.002023,FALSE
2020,36,0.001393,0.002827,0.002113,FALSE
2020,37,0.001471,0.002931,0.002202,FALSE
2020,38,0.001548,0.003033,0.002291,FALSE
2020,39,0.001629,0.00314,0.002384,FALSE
2020,40,0.00172,0.003264,0.002491,FALSE
2020,41,0.001826,0.003411,0.002617,FALSE
2020,42,0.001946,0.00358,0.00276,FALSE
2020,43,0.002079,0.003769,0.002919,FALSE
2020,44,0.002226,0.003983,0.003099,FALSE
2020,45,0.002393,0.004231,0.003304,FALSE
2020,46,0.002579,0.004515,0.003537,FALSE
2020,47,0.00278,0.004831,0.003794,FALSE
2020,48,0.002996,0.005181,0.004076,FALSE
2020,49,0.003231,0.00557,0.004387,FALSE
2020,50,0.003484,0.005985,0.00472,FALSE
2020,51,0.003768,0.00645,0.005094,FALSE
2020,52,0.004097,0.007004,0.005533,FALSE
2020,53,0.004475,0.007657,0.006043,FALSE
2020,54,0.004885,0.008381,0.006603,FALSE
2020,55,0.0053,0.009115,0.007169,FALSE
2020,56,0.005725,0.009859,0.007744,FALSE
2020,57,0.006192,0.010668,0.008372,FALSE
2020,58,0.006717,0.011568,0.009074,FALSE
2020,59,0.007296,0.012548,0.009842,FALSE
2020,60,0.007928,0.013599,0.01067,FALSE
2020,61,0.008578,0.014668,0.011515,FALSE
2020,62,0.009217,0.015723,0.012345,FALSE
2020,63,0.009834,0.016751,0.013146,FALSE
2020,64,0.010462,0.017793,0.013957,FALSE
2020,65,0.011129,0.01891,0.014819,FALSE
2020,66,0.011932,0.020241,0.015851,FALSE
2020,67,0.012871,0.021617,0.016978,FALSE
2020,68,0.014,0.023122,0.018272,FALSE
2020,69,0.015265,0.0247,0.019676,FALSE
2020,70,0.016693,0.026327,0.021199,FALSE
2020,71,0.018272,0.028145,0.022881,FALSE
2020,72,0.020046,0.030318,0.024832,FALSE
2020,73,0.02173,0.032487,0.026725,FALSE
2020,74,0.024519,0.036455,0.030032,FALSE
2020,75,0.026862,0.039507,0.032663,FALSE
2020,76,0.029942,0.043893,0.036297,FALSE
2020,77,0.033037,0.048013,0.039811,FALSE
2020,78,0.037086,0.053409,0.04441,FALSE
2020,79,0.041213,0.058234,0.04878,FALSE
2020,80,0.045945,0.064014,0.0539,FALSE
2020,81,0.051104,0.070301,0.059479,FALSE
2020,82,0.057111,0.07728,0.065797,FALSE
2020,83,0.064163,0.086551,0.073678,FALSE
2020,84,0.072353,0.095951,0.082232,FALSE
2020,85,0.081451,0.107089,0.091981,FALSE
2020,86,0.090029,0.116675,0.100813,FALSE
2020,87,0.101896,0.130906,0.113298,FALSE
2020,88,0.115015,0.14641,0.126982,FALSE
2020,89,0.129437,0.163192,0.141894,FALSE
2020,90,0.14519,0.181227,0.158045,FALSE
2020,91,0.162282,0.200462,0.17542,FALSE
2020,92,0.180688,0.22081,0.193977,FALSE
2020,93,0.200353,0.24215,0.213643,FALSE
2020,94,0.221184,0.26433,0.234314,FALSE
2020,95,0.243052,0.287167,0.255856,FALSE
2020,96,0.265792,0.310455,0.278104,FALSE
2020,97,0.289207,0.333969,0.30087,FALSE
2020,98,0.313074,0.357477,0.323946,FALSE
2020,99,0.337151,0.380747,0.347113,FALSE
2020,100,1,1,1,FALSE
